name,age,salary,gender,department,position,joining date,performance score,email,phone number
 hannah ,35,SIXTY THOUSAND,Female,Sales,Director,01/15/2020,C,email@example.com,098-765-4321
 hannah ,40,SIXTY THOUSAND,Female,Marketing,Manager,01/15/2020,C,user@domain.com,123-456-7890
 hannah ,50,55000,Male,HR,Director,"April 5, 2018",D,user@domain.com, 
 frank ,25, NAN ,Female,IT,Clerk,03-25-2019,B,email@example.com,555-555-5555
 eve ,35,50000,Female,IT,Clerk,01/15/2020,D,email@example.com,098-765-4321
 alice ,25,50000,Other,IT,Director,"April 5, 2018",F,user@domain.com,555-555-5555
 jack ,50,50000,Other,Marketing,Analyst,"April 5, 2018",B,email@example.com, 
 frank ,40,70000,Other,Marketing,Director,01/15/2020,B,email@example.com,555-555-5555
 ivy ,40,50000,Other,Finance,Manager,"April 5, 2018",A,name@company.org,123-456-7890
 alice ,thirty,70000,Male,Sales,Clerk,01/15/2020,B,email@example.com,123-456-7890
 jack ,50,70000,Male,Finance,Analyst,2020/02/20,A,email@example.com,098-765-4321
 ivy ,25,55000,Female,Finance,Manager,2019.12.01,B,name@company.org,098-765-4321
 eve ,35, NAN ,Female,Sales,Director,01/15/2020,A,email@example.com,123-456-7890
 charlie ,40, NAN ,Female,IT,Director,"April 5, 2018",D,email@example.com,555-555-5555
 eve ,40, NAN ,Other,Sales,Manager,2020/02/20,C,name@company.org,123-456-7890
 bob ,thirty,50000,Female,Finance,Director,2019.12.01,C,name@company.org,098-765-4321
 bob ,thirty, NAN ,Other,HR,Assistant,03-25-2019,A,email@example.com,098-765-4321
 david ,35, NAN ,Male,Sales,Assistant,2019.12.01,F,user@domain.com,098-765-4321
 charlie ,thirty,50000,Female,Sales,Assistant,"April 5, 2018",D,user@domain.com,098-765-4321
 david ,35,65000,Female,Sales,Analyst,03-25-2019,A,user@domain.com,123-456-7890
 bob ,35,70000,Female,IT,Analyst,2020/02/20,B,email@example.com, 
 frank ,35,50000,Male,IT,Director,"April 5, 2018",A,email@example.com, 
 jack ,35,50000,Other,Finance,Clerk,"April 5, 2018",D,user@domain.com, 
 jack ,50, NAN ,Other,Sales,Director,03-25-2019,B,name@company.org,098-765-4321
 bob ,40,55000,Female,Finance,Manager,"April 5, 2018",F,user@domain.com,555-555-5555
 david ,25,SIXTY THOUSAND,Other,Sales,Manager,"April 5, 2018",D,email@example.com,555-555-5555
 grace ,35, NAN ,Other,IT,Analyst,01/15/2020,F,email@example.com,555-555-5555
 bob ,thirty,50000,Other,IT,Analyst,2020/02/20,F,user@domain.com,098-765-4321
 hannah ,25,70000,Other,HR,Analyst,2019.12.01,F,user@domain.com,098-765-4321
 ivy ,25, NAN ,Male,HR,Director,03-25-2019,D,name@company.org,098-765-4321
 alice ,25,65000,Male,Finance,Director,"April 5, 2018",D,user@domain.com,123-456-7890
 alice ,40,65000,Other,Finance,Assistant,2019.12.01,A,email@example.com, 
 charlie ,40,70000,Male,IT,Director,01/15/2020,D,email@example.com,123-456-7890
 alice ,50,65000,Other,HR,Assistant,03-25-2019,C,email@example.com,555-555-5555
 hannah ,35,65000,Other,IT,Manager,03-25-2019,B,name@company.org, 
 charlie ,35,SIXTY THOUSAND,Other,Sales,Manager,03-25-2019,B,email@example.com,555-555-5555
 charlie ,35, NAN ,Other,Marketing,Assistant,2019.12.01,F,user@domain.com,123-456-7890
 jack ,40,65000,Other,Sales,Assistant,01/15/2020,A,name@company.org,123-456-7890
 ivy ,40,70000,Other,Marketing,Analyst,03-25-2019,B,user@domain.com,123-456-7890
 grace ,50,70000,Male,HR,Manager,2019.12.01,B,email@example.com,555-555-5555
 ivy ,35,SIXTY THOUSAND,Other,IT,Assistant,"April 5, 2018",B,user@domain.com,098-765-4321
 hannah ,thirty,70000,Male,HR,Manager,2020/02/20,C,email@example.com,098-765-4321
 bob ,25,65000,Male,IT,Director,03-25-2019,D,email@example.com,123-456-7890
 grace ,35,65000,Female,Sales,Manager,2020/02/20,F,email@example.com, 
 grace ,thirty,SIXTY THOUSAND,Female,Marketing,Clerk,2020/02/20,A,name@company.org,123-456-7890
